,votes,eevp,eevp_source,timestamp,state,expected_votes,trump2016,votes2012,votes2016,vote_share_rep,vote_share_dem,vote_share_trd
0,0,0,edison,2020-11-04T10:01:44Z,alaska,367000,163387,300495,318608,0.0,0.0,0
1,113744,31,edison,2020-11-04T07:47:41Z,alaska,367000,163387,300495,318608,0.605,0.352,0
2,132475,36,edison,2020-11-04T08:57:55Z,alaska,367000,163387,300495,318608,0.614,0.347,0
3,172031,56,edison,2020-11-04T18:34:58Z,alaska,367000,163387,300495,318608,0.629,0.33,0
4,190970,61,edison,2020-11-09T19:09:13Z,alaska,367000,163387,300495,318608,0.622,0.336,0
5,240234,75,edison,2020-11-11T02:46:15Z,alaska,367000,163387,300495,318608,0.58,0.381,0
6,260983,75,edison,2020-11-11T13:18:28Z,alaska,367000,163387,300495,318608,0.569,0.391,0
7,286788,78,edison,2020-11-12T16:41:43Z,alaska,367000,163387,300495,318608,0.559,0.403,0
8,312033,99,edison,2020-11-13T02:25:15Z,alaska,367000,163387,300495,318608,0.541,0.421,0
9,325194,99,edison,2020-11-13T13:55:46Z,alaska,367000,163387,300495,318608,0.533,0.425,0
10,334789,99,edison,2020-11-14T02:43:02Z,alaska,367000,163387,300495,318608,0.535,0.427,0
11,339523,99,edison,2020-11-15T18:48:47Z,alaska,367000,163387,300495,318608,0.535,0.427,0
12,349473,99,edison,2020-11-16T17:01:35Z,alaska,367000,163387,300495,318608,0.532,0.43,0
13,356796,99,edison,2020-11-19T13:17:03Z,alaska,367000,163387,300495,318608,0.531,0.43,0
14,356845,99,ap,2020-11-19T00:39:05.800Z,alaska,367000,163387,300495,318608,0.531,0.43,0
15,0,0,edison,2020-11-04T10:02:44Z,alabama,2300000,1318255,2074338,2123372,0.0,0.0,0
16,1053,0,edison,2020-11-04T01:23:07Z,alabama,2300000,1318255,2074338,2123372,0.407,0.585,0
17,2190,0,edison,2020-11-04T01:28:39Z,alabama,2300000,1318255,2074338,2123372,0.395,0.602,0
18,3709,0,edison,2020-11-04T01:29:35Z,alabama,2300000,1318255,2074338,2123372,0.506,0.489,0
19,4280,0,edison,2020-11-04T01:32:46Z,alabama,2300000,1318255,2074338,2123372,0.52,0.474,0
20,5249,0,edison,2020-11-04T01:40:51Z,alabama,2300000,1318255,2074338,2123372,0.516,0.476,0
21,8971,0,edison,2020-11-04T01:41:31Z,alabama,2300000,1318255,2074338,2123372,0.472,0.52,0
22,9234,0,edison,2020-11-04T01:42:13Z,alabama,2300000,1318255,2074338,2123372,0.463,0.53,0
23,10648,0,edison,2020-11-04T01:43:04Z,alabama,2300000,1318255,2074338,2123372,0.439,0.551,0
24,11670,0,edison,2020-11-04T01:45:58Z,alabama,2300000,1318255,2074338,2123372,0.475,0.515,0
25,11672,0,edison,2020-11-04T01:46:29Z,alabama,2300000,1318255,2074338,2123372,0.475,0.515,0
26,18631,1,edison,2020-11-04T01:49:11Z,alabama,2300000,1318255,2074338,2123372,0.398,0.592,0
27,21290,1,edison,2020-11-04T01:52:02Z,alabama,2300000,1318255,2074338,2123372,0.406,0.58,0
28,23626,1,edison,2020-11-04T01:55:09Z,alabama,2300000,1318255,2074338,2123372,0.423,0.564,0
29,30815,1,edison,2020-11-04T01:56:07Z,alabama,2300000,1318255,2074338,2123372,0.452,0.533,0
30,32278,1,edison,2020-11-04T01:57:36Z,alabama,2300000,1318255,2074338,2123372,0.454,0.53,0
31,40640,2,edison,2020-11-04T02:00:03Z,alabama,2300000,1318255,2074338,2123372,0.468,0.519,0
32,57276,2,edison,2020-11-04T02:02:35Z,alabama,2300000,1318255,2074338,2123372,0.462,0.526,0
33,57720,2,edison,2020-11-04T02:02:42Z,alabama,2300000,1318255,2074338,2123372,0.465,0.523,0
