County,Precincts Reporting (In-person votes only),Total Precincts,Percentage of Precincts Reporting
CAMERON,10,10,1
HUNTINGDON,58,58,1
BERKS,202,202,1
ADAMS,50,50,1
FAYETTE,77,77,1
ERIE,149,149,1
CLEARFIELD,70,70,1
YORK,161,161,1
CENTRE,87,87,1
LYCOMING,81,81,1
BEDFORD,40,40,1
MONTOUR,15,15,1
TIOGA,41,41,1
WARREN,33,33,1
GREENE,42,42,1
LEBANON,60,60,1
ARMSTRONG,62,62,1
CRAWFORD,68,68,1
JUNIATA,18,18,1
INDIANA,69,69,1
McKEAN,42,42,1
FULTON,13,13,1
PIKE,18,18,1
MIFFLIN,26,26,1
MONROE,52,52,1
FRANKLIN,73,73,1
SULLIVAN,15,15,1
COLUMBIA,42,42,1
BUCKS,304,304,1
WYOMING,28,28,1
MONTGOMERY,431,431,1
POTTER,32,32,1
BLAIR,93,93,1
FOREST,9,9,1
CLARION,40,40,1
LAWRENCE,75,75,1
CUMBERLAND,118,118,1
CAMBRIA,125,125,1
LUZERNE,186,186,1
LACKAWANNA,163,163,1
WESTMORELAND,307,307,1
ALLEGHENY,1323,1323,1
WAYNE,35,35,1
UNION,27,27,1
LANCASTER,242,242,1
BRADFORD,61,61,1
PHILADELPHIA,1703,1703,1
NORTHUMBERLAND,74,74,1
SOMERSET,68,68,1
DELAWARE,429,429,1
PERRY,31,31,1
CHESTER,230,230,1
WASHINGTON,180,180,1
CARBON,51,51,1
ELK,29,29,1
LEHIGH,159,159,1
DAUPHIN,159,159,1
BUTLER,89,89,1
MERCER,90,90,1
BEAVER,129,129,1
CLINTON,34,34,1
SCHUYLKILL,125,125,1
SUSQUEHANNA,41,41,1
NORTHAMPTON,154,154,1
VENANGO,44,44,1
SNYDER,25,25,1
JEFFERSON,37,37,1
